frame,time_seconds,raw_angle,smoothed_angle,pose_detected,new_reach_detected,reach_completed,is_proper_reach
0,0.0,56.670732361769325,56.40577794544117,True,False,False,False
1,0.041666666666666664,56.09031994585227,56.528912252612116,True,False,False,False
2,0.08333333333333333,56.45628152870193,56.66155722384482,True,False,False,False
3,0.125,56.898315174124946,56.73676158855393,True,False,False,False
4,0.16666666666666666,57.19213710877565,56.9575063033029,True,False,False,False
5,0.20833333333333334,57.04675418531485,57.06054817502493,True,False,False,False
6,0.25,57.19404351959708,57.075183317662365,True,False,False,False
7,0.2916666666666667,56.97149088731212,57.03105407336966,True,False,False,False
8,0.3333333333333333,56.97149088731212,57.01660717345045,True,False,False,False
9,0.375,56.97149088731212,56.9727024066748,True,False,False,False
10,0.4166666666666667,56.97451968571881,56.97392020266932,True,False,False,False
11,0.4583333333333333,56.97451968571881,56.97513799866384,True,False,False,False
12,0.5,56.977579867284724,57.065605965677534,True,False,False,False
13,0.5416666666666666,56.977579867284724,57.1711055200398,True,False,False,False
14,0.5833333333333334,57.42383072238063,57.35113594315844,True,False,False,False
15,0.625,57.50201745753015,57.53055432996389,True,False,False,False
16,0.6666666666666666,57.87467180131197,57.679600263057374,True,False,False,False
17,0.7083333333333334,57.87467180131197,57.73939602513169,True,False,False,False
18,0.75,57.72280953275218,57.81232422862634,True,False,False,False
19,0.7916666666666666,57.72280953275218,57.88437446526617,True,False,False,False
20,0.8333333333333334,57.86665847500339,58.06112709770938,True,False,False,False
21,0.875,58.23492298451115,58.433353224678875,True,False,False,False
22,0.9166666666666666,58.75843496352801,58.972366822557944,True,False,False,False
23,0.9583333333333334,59.58394016759962,59.7704379594655,True,False,False,False
24,1.0,60.41787752214755,60.78445354168515,True,False,False,False
25,1.0416666666666667,61.857014159541144,61.94865461751076,True,False,False,False
26,1.0833333333333333,63.305000895609446,63.10308649084989,True,False,False,False
27,1.125,64.57944034265601,64.32011031969175,True,False,False,False
28,1.1666666666666667,65.35609953429524,65.45841330879406,True,False,False,False
29,1.2083333333333333,66.50299666635694,66.50528507900894,True,False,False,False
30,1.25,67.5485291050527,67.54166221071223,True,False,False,False
31,1.2916666666666667,68.53935974668384,68.7407412884263,True,False,False,False
32,1.3333333333333333,69.76132600117242,69.80677570446883,True,False,False,False
33,1.375,71.35149492286561,70.82139211968422,True,False,False,False
34,1.4166666666666667,71.83316874656958,71.56954607201803,True,False,False,False
35,1.4583333333333333,72.62161118112965,72.14222799381443,True,False,False,False
36,1.5,72.28012950835293,72.46535527406836,True,False,False,False
37,1.5416666666666667,72.62473561015443,72.68525497955571,True,False,False,False
38,1.5833333333333333,72.96713132413518,72.65050090530065,True,False,False,False
39,1.625,72.93266727400638,72.66856527390652,True,False,False,False
40,1.6666666666666667,72.4478408098543,72.47636387974481,True,False,False,False
41,1.7083333333333333,72.37045135138231,72.04340740893869,True,False,False,False
42,1.75,71.66372863934589,71.32411566744763,True,False,False,False
43,1.7916666666666667,70.80234897010459,70.28631653202805,True,False,False,False
44,1.8333333333333333,69.33620856655102,68.9136452498759,True,False,False,False
45,1.875,67.25884513275649,67.4448188305227,True,False,False,False
46,1.9166666666666667,65.50709494062154,65.78875348594141,True,False,False,False
47,1.9583333333333333,64.3195965425799,64.1641881106284,True,False,False,False
48,2.0,62.52202224719809,62.87533274260564,True,False,False,False
49,2.0416666666666665,61.213381689985965,61.53852003628867,True,False,False,False
50,2.0833333333333335,60.81456829264274,60.17920864246289,True,False,False,False
51,2.125,58.82303140903669,59.13046743422119,True,False,False,False
52,2.1666666666666665,57.52303957345092,58.29307213882946,True,False,False,False
53,2.2083333333333335,57.27831620598961,57.2582241079549,True,False,False,False
54,2.25,57.026405213027346,56.35780471390548,True,False,False,False
55,2.2916666666666665,55.64032813826995,55.63842689382848,True,False,False,False
56,2.3333333333333335,54.32093443878956,54.714008359279184,True,False,False,False
57,2.375,53.92615047306594,53.70434390851735,True,False,False,False
58,2.4166666666666665,52.65622353324313,52.865360220172214,True,False,False,False
59,2.4583333333333335,51.978082959218185,52.18138610293646,True,False,False,False
60,2.5,51.4454096965443,51.457009669883995,True,False,False,False
61,2.5416666666666665,50.90106385261078,50.86725988727967,True,False,False,False
62,2.5833333333333335,50.30426830780354,50.295855417129985,True,False,False,False
63,2.625,49.70747462022153,49.79112417806404,True,False,False,False
64,2.6666666666666665,49.12106060846975,49.359346729379844,True,False,False,False
65,2.7083333333333335,48.921753501214624,48.93125952875231,True,False,False,False
66,2.75,48.74217660918979,48.58343266819903,True,False,False,False
67,2.7916666666666665,48.163832304665846,48.31296711545391,True,False,False,False
68,2.8333333333333335,47.96834031745515,48.04298647589816,True,False,False,False
69,2.875,47.76873284474414,47.74895291409481,True,False,False,False
70,2.9166666666666665,47.57185030343586,47.571136997061664,True,False,False,False
71,2.9583333333333335,47.27200880017303,47.33323919097427,True,False,False,False
72,3.0,47.274752719500135,47.137732525059505,True,False,False,False
73,3.0416666666666665,46.778851287018156,46.98160236740639,True,False,False,False
74,3.0833333333333335,46.791199515170305,46.78893449352666,True,False,False,False
75,3.125,46.791199515170305,46.4969657538425,True,False,False,False
76,3.1666666666666665,46.30866943077436,46.30607002032634,True,False,False,False
77,3.2083333333333335,45.81490902107936,46.11270464117975,True,False,False,False
78,3.25,45.824372619437355,45.919339262033155,True,False,False,False
79,3.2916666666666665,45.824372619437355,45.78203154350869,True,False,False,False
80,3.3333333333333335,45.824372619437355,45.7220858062774,True,False,False,False
81,3.375,45.62213083815202,45.660247349374515,True,False,False,False
