cycle_number,start_frame,end_frame,max_angle_frame,start_time,end_time,duration_seconds,max_angle,is_proper_reach
1,106,114,110,4.24,4.56,0.32,80.64434921060368,True
2,297,304,300,11.88,12.16,0.28,80.97154263755634,True
