frame,time_seconds,raw_angle,smoothed_angle,pose_detected,new_reach_detected,reach_completed,is_proper_reach
0,0.0,35.72996063476302,38.67993512086728,True,False,False,False
1,0.04,38.508836033368596,40.174694947615116,True,False,False,False
2,0.08,41.80100869447023,41.41735303705569,True,False,False,False
3,0.12,44.658974427858624,43.94638920677627,True,False,False,False
4,0.16,46.387985394817974,46.56706429125917,True,False,False,False
5,0.2,48.37514148336592,49.04360069000466,True,False,False,False
6,0.24,51.6122114557831,51.36513949907923,True,False,False,False
7,0.28,54.183690688197686,53.87146416582116,True,False,False,False
8,0.32,56.266668473231434,56.198270596666234,True,False,False,False
9,0.36,58.919608728527606,58.99729218987825,True,False,False,False
10,0.4,60.00917363759139,62.039563389626174,True,False,False,False
11,0.44,65.6073194218431,65.80083385978253,True,False,False,False
12,0.48,69.39504668693736,70.03731687080688,True,False,False,False
13,0.52,75.07302082401318,75.50169875601054,True,False,False,False
14,0.56,80.10202378364934,79.88108698086539,True,True,False,False
15,0.6,87.33108306360975,82.27168024501167,True,False,False,False
16,0.64,87.50426054611728,82.26393238655388,True,False,False,False
17,0.68,81.34801300766878,80.63396803219521,True,False,False,False
18,0.72,75.03428153172428,77.08152557968435,True,False,True,True
19,0.76,71.95220201185602,72.64156913523759,True,False,False,False
20,0.8,69.56887080105541,68.42599818987391,True,False,False,False
21,0.84,65.3044783238835,64.74909483214722,True,False,False,False
22,0.88,60.27015828085036,60.99128325936596,True,False,False,False
23,0.92,56.649764743090756,57.64954428917535,True,False,False,False
24,0.96,53.163144147949765,54.96392382881443,True,False,False,False
25,1.0,52.8601759501024,53.22362349786761,True,False,False,False
26,1.04,51.87637602207885,51.740143244705905,True,False,False,False
27,1.08,51.56865662611628,50.80542709347105,True,False,False,False
28,1.12,49.23236347728222,49.56258740296338,True,False,False,False
29,1.16,48.48956339177552,48.07232253249828,True,False,False,False
30,1.2,46.64597749756404,46.48509658577205,True,False,False,False
31,1.24,44.42505166975334,45.09914236267358,True,False,False,False
32,1.28,43.63252689248512,43.81464943454913,True,False,False,False
33,1.32,42.30259236178989,42.592695434455074,True,False,False,False
34,1.36,42.06709875115326,41.70946892900692,True,False,False,False
